3023041122 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3023111402 = Verdict: Unsolved ; Iters: 1878637 ; Length: -1
3023175235 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3023196043 = Verdict: Solved ; Iters: 18750 ; Length: 128
3023217840 = Verdict: Solved ; Iters: 233818 ; Length: 162
3023227680 = Verdict: Unsolved ; Iters: 7229915 ; Length: -1
3023562264 = Verdict: Solved ; Iters: 962278 ; Length: 113
3023638903 = Verdict: Unsolved ; Iters: 12888064 ; Length: -1
3023644804 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3023664341 = Verdict: Solved ; Iters: 925992 ; Length: 122
3023675342 = Verdict: Unsolved ; Iters: 4806669 ; Length: -1
3023713030 = Verdict: Solved ; Iters: 7052 ; Length: 118
3023780760 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3023808578 = Verdict: Solved ; Iters: 343171 ; Length: 119
3023934450 = Verdict: Unsolved ; Iters: 2181540 ; Length: -1
3024074734 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3024208124 = Verdict: Solved ; Iters: 4374865 ; Length: 143
3024330327 = Verdict: Unsolved ; Iters: 1751990 ; Length: -1
3024358877 = Verdict: Unsolved ; Iters: 2803359 ; Length: -1
3024432565 = Verdict: Solved ; Iters: 47613 ; Length: 129
3024437636 = Verdict: Solved ; Iters: 908493 ; Length: 116
3024455912 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3024499314 = Verdict: Solved ; Iters: 599740 ; Length: 125
3024505431 = Verdict: Solved ; Iters: 1735464 ; Length: 146
3024558817 = Verdict: Unsolved ; Iters: 2072948 ; Length: -1
3024678252 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3024722828 = Verdict: Unsolved ; Iters: 6583578 ; Length: -1
3024868594 = Verdict: Solved ; Iters: 688859 ; Length: 127
3024930019 = Verdict: Unsolved ; Iters: 8233816 ; Length: -1
3024951429 = Verdict: Unsolved ; Iters: 3440919 ; Length: -1
3024962701 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3024979009 = Verdict: Unsolved ; Iters: 9530804 ; Length: -1
3025020477 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3025080663 = Verdict: Solved ; Iters: 960654 ; Length: 135
3025100007 = Verdict: Unsolved ; Iters: 1495297 ; Length: -1
3025150239 = Verdict: Solved ; Iters: 4230543 ; Length: 120
3025156661 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3025171280 = Verdict: Solved ; Iters: 544441 ; Length: 124
3025291423 = Verdict: Unsolved ; Iters: 11934527 ; Length: -1
3025458535 = Verdict: Solved ; Iters: 84348 ; Length: 119
3025475223 = Verdict: Unsolved ; Iters: 9240614 ; Length: -1
3025600978 = Verdict: Unsolved ; Iters: 4433806 ; Length: -1
3025709835 = Verdict: Unsolved ; Iters: 324273 ; Length: -1
3025815979 = Verdict: Solved ; Iters: 1539651 ; Length: 120
3025888752 = Verdict: Unsolved ; Iters: 6154828 ; Length: -1
3025912156 = Verdict: Unsolved ; Iters: 9116057 ; Length: -1
3026012911 = Verdict: Solved ; Iters: 35316 ; Length: 114
3026049407 = Verdict: Solved ; Iters: 2523202 ; Length: 131
3026252436 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3026294997 = Verdict: Solved ; Iters: 771547 ; Length: 156
3026368880 = Verdict: Solved ; Iters: 60434 ; Length: 109
3026384760 = Verdict: Unsolved ; Iters: 12190879 ; Length: -1
3026401133 = Verdict: Unsolved ; Iters: 9293555 ; Length: -1
3026466288 = Verdict: Solved ; Iters: 3400556 ; Length: 152
3026573129 = Verdict: Solved ; Iters: 2848916 ; Length: 198
3026628515 = Verdict: Unsolved ; Iters: 3588218 ; Length: -1
3026679123 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3026743271 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3026751772 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3026775650 = Verdict: Unsolved ; Iters: 1659858 ; Length: -1
3026861683 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3026999357 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3027022491 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3027055303 = Verdict: Unsolved ; Iters: 562654 ; Length: -1
3027220631 = Verdict: Unsolved ; Iters: 89729 ; Length: -1
3027345869 = Verdict: Solved ; Iters: 11313188 ; Length: 177
3027380305 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3027506161 = Verdict: Solved ; Iters: 904991 ; Length: 116
3027555071 = Verdict: Solved ; Iters: 352156 ; Length: 126
3027578363 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3027607961 = Verdict: Unsolved ; Iters: 5074289 ; Length: -1
3027631533 = Verdict: Solved ; Iters: 2109288 ; Length: 120
